title,url
An Innovative Model for Establishing Data Science Units in Academic Medical Centers,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=313816
Partial Identification for Capture-Recapture Surveys,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=309722
Methods for Inference of Microbial Interactions Using Copula Models with Mixture Margins,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=311070
Explained Variance Decompositions for Mediation Effect Sizes with Multiple Exposures,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=313568
A Bayesian Model to Infer Contact Network Structure from HIV Epidemic Data,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=314082
A Minimax Optimal Ridge-Type Set Test for Global Hypothesis with Applications in Whole Genome Sequencing Association Studies,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=314071
Probabilistic Forecasts of Arctic Sea Ice Thickness,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=313966
Modeling the Marked Presence-Only Data: A Case Study of Estimating the Female Sex Worker Size in Malawi,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=309723
Revealing Spatial Gene Patterns and Interactions in Mouse Brain via Stability-Driven NMF,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=312680
Neyman-Pearson Classification Algorithms and NP Receiver Operating Characteristics,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=313842
Bayesian Meta-Analysis of Censored Rare Events,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=312276
Estimation of the Intensity Function of an Inhomogeneous Poisson Process with a Change-Point,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=313074
Achieving Differential Privacy with Elliptical Perturbations,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=312899
A Bayesian Semiparametric Approach to Estimating a Bacterium’s Wild-Type Distribution and Prevalence Estimation: Accounting for Contamination and Measurement Error (BayesACME),https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=312492
Ethical Academic Collaboration from the Outside In,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=313158
Addressing Measurement Error in Microbiome Data,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=313833
Sparse Functional Principal Component Analysis in High Dimensions,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=309560
Consistently Estimating Graph Statistics Using Aggregated Relational Data,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=309685
Unsupervised Multi-Granular Word Segmentation and Medical Term Discovery via Graph Partition,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=312183
The Future of Precision Health,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=312488
The Role of Stratification in Sequential Monte Carlo,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=312601
Latent Space Hawkes Processes,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=313137
GWEB-Anno: An Empirical-Bayes-Based Approach for Genetic Risk Prediction Using GWAS Summary Statistics and Functional Annotations,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=313156
Teaching Data Science Using Team-Based Learning,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=309571
Modeling Reciprocity: Designing a Collaborative Undergraduate Research Course,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=312952
Adaptive Testing of the Composite Null Hypotheses in Mediation Analysis,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=313813
Incorporating Prior Knowledge on Phenotyping Accuracy for Bias Reduction in Association Studies Using Electronic Health Records Data,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=314104
Learning Healthcare Delivery Network with Longitudinal Electronic Health Records Data,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=311037
Estimating Causal Effects of Continuous Exposure: Comparing the Relative Performance of Commonly Used Methods,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=312728
Estimating Association Between Baseline Covariates and Outcome Under Additive Nonignorable Missingness,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=313638
ISLE: An Integrated Learning (And Research) Environment for Statistics and Data Science,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=313949
A Random Effects Stochastic Block Model for Joint Community Detection in Multiple Networks with Applications to Neuroimaging,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=313205
A Study of Police Use of Force Using Novel Spatial Point Process Methodology,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=309883
Leveraging Auxiliary Information in Missing Data,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=312739
Scalable Bayes and MCMC,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=313272
Scaling and Generalizing Approximate Bayesian Inference,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=309644
Synthetic Difference in Differences,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=309371
Improved Doubly Robust Estimation in Learning Optimal Individualized Treatment Rules,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=309210
Experimental Evaluation of Individualized Treatment Rules,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=309372
Online Reinforcement Learning with Applications to Mobile Health,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=308067
Harmonizing Genetic Ancestry and Self-Identified Race/Ethnicity in Genome-Wide Association Studies,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=309311
Model Checking and More Powerful Inference in Transcriptome-Wide Association Studies,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=309309
Integrative Analysis of Cancer Multi-Omics Data ,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=309254
Translating Genomic and Transcriptomic Studies to Identify Actionable Targets,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=309263
Prioritizing Disease Candidate Genes Using Knockout Mouse Phenotype Data,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=309441
A Two-Part Model for Individualized Treatment Rule Estimation with Semi-Continuous Outcomes,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=308039
Bayesian Nonparametric Survival Regression for Optimizing Precision Dosing of Intravenous Busulfan in Allogeneic Stem Cell Transplantation,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=308042
Targeted Learning of Causal Impact of Optimal Individualized Treatment Rules Based on Novel Sequentially Adaptive Designs,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=308163
Stochastic Tree Search for Estimating Personalized Treatment Decision Rules,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=309288
Use of Probabilistic Record Linkage in Multiple-Frame Surveys,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=309285
Dblink: Distributed End-to-End Bayesian Entity Resolution,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=309270
Spherical Regression Under Mismatch Corruption with Application to Automated Knowledge Translation,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=308068
Confidence Intervals for High-Dimensional Cox Models,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=309511
Optimal Gaussian Approximation for Multiple Time Series,https://ww2.amstat.org/meetings/jsm/2020/onlineprogram/AbstractDetails.cfm?abstractid=309512
